"","LV.type","numberOfLaunches","numberOfFailures"
"1","1",2,0
"2","2",5,4
"3","3",10,8
"4","4",8,4
"5","5",5,0
"6","6",10,8
"7","7",2,1
"8","8",7,6
"9","9",12,11
"10","10",8,2
"11","11",6,5
"12","12",4,2
"13","13",5,3
"14","14",3,2
"15","15",6,1
"16","16",7,4
"17","17",2,1
"18","18",3,2
"19","19",12,5
"20","20",4,3
"21","21",2,0
"22","22",6,3
"23","23",10,4
"24","24",1,0
"25","25",1,0
"26","26",5,1
"27","27",2,0
"28","28",12,7
"29","29",1,0
"30","30",10,2
"31","31",11,10
"32","32",6,4
"33","33",3,2
"34","34",5,0
"35","35",10,8
"36","36",1,0
"37","37",9,0
"38","38",8,4
"39","39",5,1
"40","40",3,0
"41","41",3,0
"42","42",7,4
"43","43",4,0
"44","44",9,5
"45","45",2,1
"46","46",8,1
"47","47",10,8
"48","48",2,0
"49","49",10,0
"50","50",4,2
"51","51",6,0
"52","52",8,6
"53","53",4,2
"54","54",6,1
"55","55",10,5
"56","56",9,3
"57","57",5,1
"58","58",3,2
"59","59",11,6
"60","60",7,6
"61","61",6,5
"62","62",10,0
"63","63",1,0
"64","64",5,3
"65","65",9,3
"66","66",7,0
"67","67",9,7
"68","68",2,0
"69","69",2,0
"70","70",7,3
"71","71",4,2
"72","72",7,5
"73","73",9,2
"74","74",10,0
"75","75",5,1
"76","76",11,10
"77","77",12,1
"78","78",10,8
"79","79",9,4
"80","80",8,0
"81","81",3,0
"82","82",6,4
"83","83",7,4
"84","84",7,4
"85","85",10,5
"86","86",9,1
"87","87",3,2
"88","88",10,8
"89","89",2,0
"90","90",7,1
"91","91",6,1
"92","92",2,0
"93","93",7,1
"94","94",2,1
"95","95",7,3
"96","96",7,3
"97","97",2,1
"98","98",4,0
"99","99",10,0
"100","100",8,6
