"LV.type","numberOfLaunches","numberOfFailures"
"1",10,9
"2",7,2
"3",3,1
"4",9,4
"5",5,1
"6",4,1
"7",11,2
"8",7,6
"9",11,2
"10",8,3
"11",8,7
"12",9,7
"13",9,2
"14",8,3
"15",7,5
"16",1,0
"17",6,3
"18",2,0
"19",3,1
"20",5,1
"21",3,0
"22",1,0
"23",1,0
"24",11,4
"25",11,5
"26",1,0
"27",8,3
"28",12,7
"29",10,9
"30",9,1
"31",7,0
"32",2,0
"33",6,0
"34",9,4
"35",11,5
"36",7,4
"37",7,4
"38",4,0
"39",2,1
"40",8,5
"41",6,1
"42",3,2
"43",3,2
"44",1,0
"45",10,6
"46",1,0
"47",2,0
"48",8,0
"49",11,8
"50",4,0
"51",8,2
"52",1,0
"53",7,2
"54",6,5
"55",7,0
"56",5,4
"57",10,0
"58",12,8
"59",6,5
"60",2,0
"61",2,0
"62",6,2
"63",12,6
"64",8,4
"65",7,6
"66",7,4
"67",11,0
"68",11,2
"69",10,1
"70",9,0
"71",2,1
"72",4,0
"73",9,2
"74",7,3
"75",12,11
"76",5,1
"77",4,3
"78",6,5
"79",5,0
"80",11,5
"81",12,1
"82",6,2
"83",5,1
"84",11,1
"85",5,2
"86",11,2
"87",5,1
"88",4,0
"89",6,0
"90",7,6
"91",12,6
"92",11,6
"93",9,1
"94",10,0
"95",5,3
"96",11,0
"97",8,7
"98",4,1
"99",2,1
"100",3,0
"101",6,0
"102",4,2
"103",5,4
"104",2,0
"105",2,1
"106",6,0
"107",6,1
"108",5,4
"109",2,1
"110",10,3
"111",8,3
"112",8,1
"113",1,0
"114",10,8
"115",8,2
"116",11,0
"117",8,0
"118",9,6
"119",2,1
"120",5,0
"121",12,3
"122",9,7
"123",3,1
"124",11,2
"125",1,0
"126",5,2
"127",9,0
"128",8,6
"129",8,1
"130",7,5
"131",1,0
"132",8,1
"133",10,1
"134",1,0
"135",6,4
"136",7,4
"137",12,0
"138",9,4
"139",9,8
"140",11,7
"141",10,8
"142",6,4
"143",3,2
"144",1,0
"145",11,1
"146",1,0
"147",11,7
"148",11,4
"149",2,1
"150",6,4
"151",6,5
"152",3,0
"153",8,5
"154",2,1
"155",6,3
"156",2,0
"157",1,0
"158",12,10
"159",11,10
"160",5,3
"161",2,0
"162",4,0
"163",6,2
"164",8,3
"165",7,6
"166",4,2
"167",11,9
"168",7,1
"169",10,7
"170",6,2
"171",9,6
"172",12,5
"173",1,0
"174",12,7
"175",8,1
"176",11,9
"177",11,0
"178",9,5
"179",10,6
"180",9,3
"181",1,0
"182",1,0
"183",3,2
"184",4,2
"185",9,6
"186",3,1
"187",2,0
"188",3,0
"189",8,4
"190",8,3
"191",11,8
"192",8,1
"193",2,0
"194",9,7
"195",2,0
"196",4,2
"197",6,3
"198",2,0
"199",4,0
"200",7,6
"201",12,0
"202",2,0
"203",11,3
"204",8,5
"205",5,4
"206",4,1
"207",7,5
"208",9,1
"209",5,3
"210",6,0
"211",12,7
"212",11,1
"213",10,3
"214",11,10
"215",7,2
"216",11,3
"217",11,2
"218",10,4
"219",12,6
"220",9,0
"221",11,0
"222",12,11
"223",12,4
"224",4,0
"225",2,1
"226",8,3
"227",7,1
"228",3,2
"229",4,1
"230",1,0
"231",12,4
"232",8,0
"233",3,2
"234",12,6
"235",5,4
"236",8,6
"237",8,1
"238",11,0
"239",5,1
"240",6,0
"241",12,0
"242",5,3
"243",1,0
"244",2,0
"245",2,0
"246",5,0
"247",2,0
"248",2,1
"249",9,8
"250",10,1
"251",4,1
"252",3,0
"253",8,3
"254",3,2
"255",6,2
"256",1,0
"257",1,0
"258",9,5
"259",5,2
"260",5,1
"261",12,4
"262",6,3
"263",9,3
"264",7,0
"265",5,2
"266",5,1
"267",8,6
"268",12,4
"269",5,3
"270",6,1
"271",8,6
"272",8,4
"273",7,4
"274",4,1
"275",10,6
"276",1,0
"277",5,0
"278",5,0
"279",8,4
"280",2,1
"281",5,1
"282",1,0
"283",11,2
"284",2,0
"285",6,0
"286",3,2
"287",1,0
"288",6,5
"289",12,4
"290",5,0
"291",6,5
"292",10,0
"293",1,0
"294",1,0
"295",3,0
"296",4,0
"297",10,4
"298",6,3
"299",9,6
"300",4,3
"301",11,3
"302",7,2
"303",4,3
"304",11,7
"305",4,1
"306",9,4
"307",9,4
"308",5,0
"309",2,1
"310",1,0
"311",9,0
"312",7,0
"313",6,1
"314",1,0
"315",12,3
"316",6,4
"317",4,0
"318",1,0
"319",10,4
"320",2,0
"321",12,4
"322",6,3
"323",1,0
"324",7,2
"325",7,1
"326",9,7
"327",7,1
"328",5,2
"329",11,2
"330",10,7
"331",9,8
"332",6,5
"333",10,6
"334",3,2
"335",5,4
"336",12,8
"337",2,1
"338",2,1
"339",3,2
"340",3,2
"341",11,2
"342",11,3
"343",1,0
"344",3,2
"345",12,6
"346",4,0
"347",3,0
"348",5,2
"349",6,0
"350",4,0
"351",7,4
"352",1,0
"353",4,1
"354",7,6
"355",5,1
"356",6,5
"357",9,3
"358",5,1
"359",12,1
"360",12,7
"361",1,0
"362",10,2
"363",6,4
"364",5,3
"365",11,4
"366",3,0
"367",1,0
"368",10,2
"369",12,4
"370",5,1
"371",9,0
"372",7,1
"373",9,6
"374",10,2
"375",1,0
"376",10,4
"377",5,0
"378",3,2
"379",8,0
"380",8,2
"381",1,0
"382",8,0
"383",10,1
"384",9,4
"385",4,1
"386",3,2
"387",1,0
"388",9,5
"389",3,2
"390",9,3
"391",10,8
"392",9,6
"393",9,8
"394",6,2
"395",8,1
"396",1,0
"397",9,4
"398",12,4
"399",1,0
"400",12,0
"401",10,1
"402",12,3
"403",11,6
"404",2,1
"405",5,4
"406",11,0
"407",4,1
"408",12,2
"409",12,6
"410",9,6
"411",1,0
"412",2,0
"413",7,1
"414",9,6
"415",10,1
"416",4,1
"417",10,3
"418",4,0
"419",8,0
"420",1,0
"421",8,2
"422",3,2
"423",1,0
"424",5,3
"425",9,5
"426",10,8
"427",3,2
"428",3,0
"429",10,2
"430",3,0
"431",4,1
"432",12,4
"433",5,4
"434",8,2
"435",5,2
"436",10,1
"437",2,0
"438",10,2
"439",4,1
"440",10,5
"441",10,5
"442",3,1
"443",7,4
"444",9,4
"445",6,4
"446",11,7
"447",8,0
"448",8,3
"449",11,6
"450",9,8
"451",5,3
"452",4,0
"453",6,0
"454",6,3
"455",4,0
"456",4,3
"457",2,0
"458",5,1
"459",4,1
"460",1,0
"461",3,1
"462",12,0
"463",8,2
"464",9,4
"465",3,0
"466",11,5
"467",8,7
"468",8,1
"469",6,1
"470",8,2
"471",10,6
"472",10,9
"473",11,1
"474",6,5
"475",2,1
"476",10,0
"477",5,3
"478",3,2
"479",1,0
"480",8,7
"481",2,1
"482",4,2
"483",1,0
"484",8,1
"485",2,0
"486",2,0
"487",10,5
"488",12,7
"489",10,3
"490",5,0
"491",2,1
"492",10,4
"493",2,1
"494",5,2
"495",4,3
"496",4,0
"497",7,4
"498",8,7
"499",6,4
"500",3,2
"501",1,0
"502",8,6
"503",12,3
"504",3,0
"505",11,8
"506",2,1
"507",9,0
"508",3,1
"509",11,9
"510",4,3
"511",4,3
"512",7,3
"513",8,4
"514",10,9
"515",8,2
"516",5,3
"517",4,3
"518",5,0
"519",1,0
"520",5,3
"521",11,7
"522",4,3
"523",8,4
"524",1,0
"525",12,7
"526",12,9
"527",9,6
"528",7,2
"529",7,6
"530",9,8
"531",12,2
"532",7,3
"533",2,0
"534",9,1
"535",7,2
"536",4,1
"537",1,0
"538",3,2
"539",11,9
"540",5,0
"541",11,6
"542",11,1
"543",1,0
"544",7,2
"545",10,1
"546",5,2
"547",3,1
"548",4,2
"549",12,2
"550",4,1
"551",12,4
"552",2,0
"553",12,1
"554",9,2
"555",5,1
"556",3,2
"557",1,0
"558",7,0
"559",8,1
"560",11,8
"561",2,0
"562",4,0
"563",12,7
"564",8,3
"565",12,10
"566",2,1
"567",6,3
"568",9,5
"569",8,4
"570",3,2
"571",12,2
"572",2,1
"573",10,1
"574",12,1
"575",3,0
"576",7,5
"577",11,7
"578",2,0
"579",10,1
"580",2,1
"581",10,1
"582",7,1
"583",4,2
"584",11,1
"585",12,0
"586",12,8
"587",7,2
"588",2,1
"589",10,6
"590",10,6
"591",11,0
"592",4,2
"593",7,5
"594",9,5
"595",5,2
"596",11,9
"597",5,1
"598",1,0
"599",6,1
"600",11,5
"601",3,1
"602",7,4
"603",6,5
"604",12,10
"605",4,0
"606",1,0
"607",10,4
"608",11,5
"609",9,8
"610",8,1
"611",8,4
"612",7,4
"613",3,1
"614",8,0
"615",1,0
"616",3,0
"617",11,7
"618",11,0
"619",2,0
"620",7,2
"621",9,5
"622",6,3
"623",10,2
"624",5,1
"625",6,2
"626",7,0
"627",6,4
"628",10,6
"629",10,3
"630",2,1
"631",7,6
"632",11,6
"633",6,0
"634",2,0
"635",3,1
"636",8,1
"637",5,2
"638",5,0
"639",2,1
"640",9,8
"641",10,4
"642",7,5
"643",4,2
"644",8,2
"645",11,3
"646",1,0
"647",9,5
"648",9,0
"649",12,11
"650",6,2
"651",12,1
"652",9,0
"653",5,0
"654",7,3
"655",12,4
"656",9,6
"657",8,6
"658",1,0
"659",8,4
"660",6,2
"661",9,5
"662",2,1
"663",12,1
"664",6,4
"665",2,0
"666",7,3
"667",10,6
"668",5,0
"669",6,2
"670",1,0
"671",11,7
"672",8,0
"673",4,1
"674",4,1
"675",4,2
"676",4,1
"677",7,2
"678",8,7
"679",6,2
"680",12,3
"681",7,3
"682",9,1
"683",9,7
"684",5,2
"685",12,2
"686",4,0
"687",9,6
"688",10,3
"689",6,2
"690",4,0
"691",12,5
"692",4,3
"693",4,1
"694",8,5
"695",11,7
"696",8,2
"697",8,5
"698",12,1
"699",12,9
"700",7,1
"701",5,2
"702",11,5
"703",4,3
"704",9,4
"705",10,2
"706",8,5
"707",9,6
"708",5,3
"709",12,9
"710",11,4
"711",9,6
"712",10,9
"713",4,3
"714",3,0
"715",4,3
"716",1,0
"717",7,0
"718",8,1
"719",7,0
"720",5,0
"721",12,4
"722",8,3
"723",7,1
"724",2,0
"725",2,0
"726",10,2
"727",12,11
"728",2,0
"729",4,3
"730",2,1
"731",7,6
"732",4,2
"733",10,7
"734",4,0
"735",1,0
"736",11,9
"737",1,0
"738",11,8
"739",9,0
"740",12,7
"741",8,2
"742",5,2
"743",9,2
"744",6,5
"745",4,1
"746",5,2
"747",5,0
"748",7,5
"749",8,7
"750",2,1
"751",1,0
"752",1,0
"753",8,5
"754",1,0
"755",7,6
"756",5,3
"757",1,0
"758",10,9
"759",6,1
"760",10,4
"761",2,0
"762",3,1
"763",5,1
"764",10,1
"765",4,3
"766",3,2
"767",10,4
"768",2,0
"769",7,2
"770",12,3
"771",7,1
"772",8,4
"773",9,6
"774",1,0
"775",6,3
"776",6,2
"777",3,1
"778",6,4
"779",1,0
"780",11,4
"781",1,0
"782",10,5
"783",9,4
"784",10,9
"785",10,1
"786",7,4
"787",9,3
"788",2,0
"789",2,1
"790",11,4
"791",5,2
"792",7,5
"793",4,3
"794",10,6
"795",11,8
"796",1,0
"797",9,7
"798",1,0
"799",7,3
"800",8,2
"801",10,5
"802",4,2
"803",2,1
"804",12,8
"805",7,2
"806",11,5
"807",6,4
"808",5,3
"809",3,0
"810",10,5
"811",5,0
"812",1,0
"813",9,2
"814",8,2
"815",1,0
"816",4,0
"817",8,7
"818",5,2
"819",4,2
"820",9,0
"821",6,2
"822",6,5
"823",3,1
"824",10,7
"825",4,3
"826",6,4
"827",12,9
"828",8,0
"829",1,0
"830",3,1
"831",1,0
"832",5,1
"833",9,7
"834",6,0
"835",7,1
"836",11,2
"837",7,5
"838",4,0
"839",11,5
"840",6,1
"841",12,3
"842",9,5
"843",9,8
"844",3,1
"845",1,0
"846",2,1
"847",10,0
"848",8,1
"849",2,0
"850",7,4
"851",10,2
"852",2,1
"853",5,1
"854",3,1
"855",11,3
"856",6,3
"857",8,2
"858",11,2
"859",2,1
"860",4,2
"861",7,6
"862",12,2
"863",4,0
"864",12,0
"865",7,2
"866",8,7
"867",5,4
"868",5,3
"869",11,10
"870",1,0
"871",4,1
"872",8,7
"873",2,1
"874",1,0
"875",11,9
"876",11,4
"877",5,4
"878",4,1
"879",2,0
"880",7,4
"881",3,2
"882",2,1
"883",10,3
"884",5,3
"885",10,6
"886",9,0
"887",10,3
"888",11,1
"889",9,4
"890",11,4
"891",8,7
"892",9,5
"893",3,2
"894",10,3
"895",8,3
"896",4,3
"897",11,0
"898",3,2
"899",5,2
"900",6,5
"901",12,2
"902",11,4
"903",7,0
"904",12,8
"905",8,6
"906",11,6
"907",2,0
"908",2,0
"909",7,1
"910",11,8
"911",10,0
"912",10,4
"913",4,1
"914",7,2
"915",8,3
"916",4,1
"917",5,0
"918",7,0
"919",9,3
"920",5,4
"921",4,0
"922",3,2
"923",1,0
"924",8,4
"925",12,0
"926",9,3
"927",12,3
"928",1,0
"929",3,2
"930",6,0
"931",5,2
"932",9,7
"933",7,2
"934",2,1
"935",3,2
"936",4,2
"937",9,5
"938",5,1
"939",10,8
"940",2,1
"941",8,7
"942",2,1
"943",1,0
"944",12,1
"945",9,7
"946",6,2
"947",2,1
"948",7,2
"949",11,9
"950",4,2
"951",5,3
"952",5,1
"953",1,0
"954",1,0
"955",7,2
"956",10,7
"957",8,7
"958",8,4
"959",7,5
